Category,Hedis Measure,Hedis Measuer code,Age from,Age to,SMS
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hello! Prioritize your child's safety. Learn about Lead Screening to prevent lead exposure and its adverse effects. Contact your doctor to schedule a screening."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hi! Keep your child healthy and safe. Understand the importance of Lead Screening. Take proactive steps and discuss this screening with your healthcare provider."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hey! Protect your child's future. Stay informed about Lead Screening - a crucial step to prevent lead exposure. Contact your healthcare provider for necessary screenings."""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hello! Don't overlook the impact of lead exposure on your child's health. Learn about Lead Screening. Schedule a screening with your healthcare provider today!"""
Prevention and Screening,Lead Screening in Children,LSC,2,,"""Hi! Ensure a healthy start for your child. Understand Lead Screening and its importance in preventing lead exposure. Contact your doctor for guidance on screenings."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hey there! Prioritize your health. Stay informed about Cervical Cancer Screening - a crucial step in early detection and prevention. Contact your healthcare provider for details."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hello! Protect yourself. Learn about Cervical Cancer Screening - an essential tool for early detection. Schedule a screening today for your well-being. Connect with your doctor!"""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hi! Your health matters! Understand the importance of Cervical Cancer Screening. Schedule a screening to detect and prevent cervical cancer. Contact your healthcare provider!"""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hey! Stay proactive about your health. Educate yourself about Cervical Cancer Screening. Take action and discuss this vital screening with your healthcare provider."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hello! Don't overlook Cervical Cancer Screening. Protect yourself from cervical cancer risks. Stay informed and consult your healthcare provider for necessary screenings."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hi there! Ensure your well-being. Learn about Cervical Cancer Screening - a critical step in early detection. Contact your doctor to schedule a screening!"""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hey! Safeguard your health. Understand the significance of Cervical Cancer Screening. Take proactive steps and discuss this screening with your healthcare provider."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hello! Prioritize your safety. Learn about Cervical Cancer Screening to detect and prevent cervical cancer risks. Connect with your doctor for guidance."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hi! Protect yourself from cervical cancer risks. Stay informed about Cervical Cancer Screening. Schedule a screening for your well-being. Contact your healthcare provider!"""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hey there! Your health is important. Educate yourself about Cervical Cancer Screening. Take action and discuss this crucial screening with your healthcare provider."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hello! Ensure your well-being. Learn about Cervical Cancer Screening - an important step in preventing cervical cancer risks. Contact your doctor to schedule a screening."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hi! Keep yourself healthy and safe. Understand the importance of Cervical Cancer Screening. Take proactive steps and discuss this screening with your healthcare provider."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hey! Protect your future health. Stay informed about Cervical Cancer Screening - a crucial step in prevention. Contact your healthcare provider for necessary screenings."""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hello! Don't overlook the importance of Cervical Cancer Screening. Protect yourself from cervical cancer risks. Schedule a screening with your healthcare provider today!"""
Prevention and Screening,Cervical Cancer Screening,CCS,24,64,"""Hi! Ensure a healthy future. Understand Cervical Cancer Screening and its importance in early detection. Contact your doctor for guidance on screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hey there! As you reach your late 40s, it's crucial to prioritize your health. Learn about Colorectal Cancer Screening - an essential step in maintaining your well-being. Contact your doctor today!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hello! Protect your health in your late 40s. Understanding Colorectal Cancer Screening is key. Schedule a screening now to safeguard against risks. Connect with your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hi! Your health matters at this stage. Educate yourself about Colorectal Cancer Screening. Schedule a screening to detect and prevent colorectal cancer. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hey! As you enter your late 40s, stay proactive about your health. Don't overlook Colorectal Cancer Screening. Stay informed and consult your healthcare provider for necessary screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hello! Ensure your well-being in your late 40s. Learn about Colorectal Cancer Screening - a vital step in early detection. Contact your doctor now to schedule a screening!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hi there! Safeguard your health as you approach 50. Understand the significance of Colorectal Cancer Screening. Take proactive steps and discuss this screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hey! Your safety is essential at this stage. Learn about Colorectal Cancer Screening to detect and prevent colorectal cancer risks. Connect with your doctor for guidance."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hello! Protect yourself from colorectal cancer risks in your late 40s. Stay informed about Colorectal Cancer Screening. Schedule a screening for your well-being. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hi! Don't overlook Colorectal Cancer Screening in your late 40s. Educate yourself about its importance. Schedule a screening to safeguard your health. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hey there! As you near 50, your health is crucial. Stay informed about Colorectal Cancer Screening. Take action and discuss this vital screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hello! Ensure your well-being as you approach 50. Learn about Colorectal Cancer Screening - an important step in preventing colorectal cancer risks. Contact your doctor for screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hi! Keep yourself healthy and safe as you enter your late 40s. Understand the significance of Colorectal Cancer Screening. Discuss this screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hey! Protect your future health as you reach your late 40s. Stay informed about Colorectal Cancer Screening - a vital step in prevention. Contact your healthcare provider for screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hello! Don't overlook the importance of Colorectal Cancer Screening in your late 40s. Protect yourself from colorectal cancer risks. Schedule a screening with your healthcare provider today!"""
Prevention and Screening,Colorectal Cancer Screening,COL,46,49,"""Hi! Ensure a healthy future as you approach 50. Learn about Colorectal Cancer Screening and its importance in early detection. Contact your doctor for guidance on screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hey there! As you enter your 50s and beyond, prioritize your health. Learn about Colorectal Cancer Screening - a crucial step in safeguarding your well-being. Contact your doctor today!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hello! Protect your health in your 50s and beyond. Understanding Colorectal Cancer Screening is vital. Schedule a screening now to detect and prevent risks. Connect with your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hi! Your health matters at this stage and beyond. Educate yourself about Colorectal Cancer Screening. Schedule a screening to detect and prevent colorectal cancer. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hey! As you approach your 50s and beyond, stay proactive about your health. Don't overlook Colorectal Cancer Screening. Stay informed and consult your healthcare provider for necessary screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hello! Ensure your well-being in your 50s and beyond. Learn about Colorectal Cancer Screening - an essential step in early detection. Contact your doctor now to schedule a screening!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hi there! Safeguard your health as you reach 50 and beyond. Understand the significance of Colorectal Cancer Screening. Take proactive steps and discuss this screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hey! Your safety is crucial at this stage and beyond. Learn about Colorectal Cancer Screening to detect and prevent risks. Connect with your doctor for guidance."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hello! Protect yourself from colorectal cancer risks in your 50s and beyond. Stay informed about Colorectal Cancer Screening. Schedule a screening for your well-being. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hi! Don't overlook Colorectal Cancer Screening as you age. Educate yourself about its importance. Schedule a screening to safeguard your health. Contact your healthcare provider!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hey there! As you grow older, your health is paramount. Stay informed about Colorectal Cancer Screening. Take action and discuss this vital screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hello! Ensure your well-being as you age. Learn about Colorectal Cancer Screening - an important step in preventing colorectal cancer risks. Contact your doctor for screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hi! Keep yourself healthy and safe as you age gracefully. Understand the significance of Colorectal Cancer Screening. Discuss this screening with your healthcare provider."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hey! Protect your future health as you age. Stay informed about Colorectal Cancer Screening - a vital step in prevention. Contact your healthcare provider for screenings."""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hello! Don't overlook the importance of Colorectal Cancer Screening as you age. Protect yourself from colorectal cancer risks. Schedule a screening with your healthcare provider today!"""
Prevention and Screening,Colorectal Cancer Screening,COL,50,75,"""Hi! Ensure a healthy future as you age. Learn about Colorectal Cancer Screening and its importance in early detection. Contact your doctor for guidance on screenings."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hey! Let's prioritize the well-being of our seniors. Care for Older Adults involves empathy, attention, and support. Show them love and respect daily!"""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hello! As our loved ones age, let's ensure they receive the care they deserve. Providing Care for Older Adults means ensuring their comfort and well-being."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hi! Supporting our elderly is crucial. Offering Care for Older Adults involves patience, understanding, and ensuring their needs are met. Let's show our appreciation!"""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hey there! Let's acknowledge the importance of Care for Older Adults. Providing companionship, assistance, and respect to our seniors is essential."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hello! As our elders age gracefully, let's prioritize their care. Offering Care for Older Adults involves compassion, assistance, and ensuring their dignity."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hi! Embracing the significance of Care for Older Adults is vital. Let's provide support, comfort, and love to our seniors in their golden years."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hey! Let's honor and care for our elderly. Providing Care for Older Adults means creating a safe, supportive, and loving environment for them."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hello! As our loved ones age, let's extend a helping hand. Care for Older Adults involves patience, respect, and meeting their unique needs."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hi there! Let's show appreciation for our seniors. Providing Care for Older Adults involves ensuring their physical, emotional, and mental well-being."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hey! Let's cherish and support our elders. Care for Older Adults means offering companionship, assistance, and understanding their perspectives."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hello! As our loved ones age gracefully, let's offer them care and respect. Providing Care for Older Adults involves showing compassion and empathy."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hi! Let's prioritize the comfort and happiness of our seniors. Care for Older Adults means honoring their wisdom and providing thoughtful assistance."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hey there! Let's celebrate our elders by offering compassionate care. Providing Care for Older Adults means ensuring their dignity and comfort."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hello! As our elders age, let's provide them with the care they deserve. Care for Older Adults involves patience, support, and creating a nurturing environment."""
Prevention and Screening,Care for Older Adults,COA,66,,"""Hi! Let's recognize the importance of caring for our seniors. Offering Care for Older Adults means showing gratitude, love, and attending to their needs."""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hello! Ensure your baby's bright smile from the start! Schedule an oral evaluation for your little one. Early dental care sets the foundation for healthy teeth."""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hi! Protect your baby's oral health. Schedule an oral evaluation to ensure healthy gums and teeth growth. Early dental services support a happy smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hey there! Start your baby's oral health journey early. Get an oral evaluation to keep those tiny teeth healthy and strong. Take the first step today!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hello! As your baby grows, prioritize their dental health. Schedule an oral evaluation for your little one. Early dental care is crucial for a beautiful smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hi! A healthy smile begins in infancy. Book an oral evaluation to monitor your baby's dental growth. Early dental services set the stage for great oral health!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hey there! Give your baby the gift of a healthy smile. Get an oral evaluation to ensure their dental well-being. Early dental care shapes a lifetime of healthy teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hello! Early dental care matters! Schedule an oral evaluation for your baby. It's essential for healthy gums and the development of strong teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hi! Lay the foundation for your baby's dental health. Book an oral evaluation to ensure proper oral development. Early dental services are key to a bright smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hey there! Protect your little one's precious smile. Schedule an oral evaluation to monitor their dental health. Early dental care supports a lifelong healthy grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hello! Nurture your baby's dental health. Get an oral evaluation to ensure healthy teeth growth. Early dental services pave the way for a sparkling smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hi! Your baby's dental health is important. Schedule an oral evaluation to check their gums and teeth. Early dental care ensures a beautiful smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hey there! Start caring for your baby's teeth early. Book an oral evaluation for proper dental guidance. Early dental services foster a happy, healthy smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hello! Protect your baby's oral health with an early start. Schedule an oral evaluation to keep their little teeth in top shape. Start today for a brighter smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hi! Ensure a strong foundation for your baby's dental health. Get an oral evaluation to promote healthy teeth growth. Early dental care is the key!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,0,2,"""Hey there! Set the stage for your baby's oral health. Schedule an oral evaluation for a healthy mouth and a beaming smile. Start their dental journey today!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hello! Is your child's smile ready for school? Schedule an oral evaluation to ensure their dental health. Early dental services lay the groundwork for a confident smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hi! Give your child a healthy smile. Book an oral evaluation to monitor their dental growth. Early dental services promote strong teeth and a happy grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hey there! Ensure your child's bright smile. Get an oral evaluation to maintain their dental health. Early dental care sets the stage for a lifetime of healthy teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hello! Prepare your child for a lifetime of healthy smiles. Schedule an oral evaluation for proper dental guidance. Early dental services ensure a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hi! Is your child's dental health on track? Book an oral evaluation to monitor their teeth and gums. Early dental care paves the way for a sparkling smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hey there! Nurture your child's dental health. Get an oral evaluation to check their teeth and gums. Early dental services support a confident and healthy smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hello! Early dental care matters! Schedule an oral evaluation to ensure your child's dental well-being. Healthy teeth are the foundation of a bright smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hi! Lay the groundwork for your child's dental health. Book an oral evaluation to guide their oral care. Early dental services shape a lifetime of healthy teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hey there! Protect your child's precious smile. Schedule an oral evaluation to monitor their dental growth. Early dental care is essential for a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hello! Is your child's smile getting the care it needs? Get an oral evaluation to maintain their dental health. Early dental services foster a lifetime of healthy smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hi! Ensure your child's dental health is in top shape. Schedule an oral evaluation to check their teeth and gums. Early dental care ensures a beautiful smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hey there! Start caring for your child's teeth early. Book an oral evaluation for proper dental guidance. Early dental services promote a happy, healthy smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hello! Protect your child's oral health with an early start. Schedule an oral evaluation to keep their teeth and gums healthy. Start today for a brighter smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hi! Ensure a strong foundation for your child's dental health. Get an oral evaluation to promote healthy teeth growth. Early dental care is the key!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,3,5,"""Hey there! Set the stage for your child's oral health. Schedule an oral evaluation for a healthy mouth and a beaming smile. Start their dental journey today!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hello! Ensure your child's oral health journey starts strong! Schedule an oral evaluation to ensure their dental well-being. Dental services build the foundation for a confident smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hi! Prioritize your child's dental health. Book an oral evaluation to monitor their teeth and gums. Dental services promote strong and healthy smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hey there! Ensure your child's smile stays healthy and bright. Get an oral evaluation to check their dental growth. Dental services support a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hello! Lay the groundwork for your child's dental health. Schedule an oral evaluation for proper dental guidance. Dental services ensure a lifetime of healthy teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hi! Maintain your child's dental health routine. Book an oral evaluation to monitor their teeth and gums. Dental services lay the foundation for a sparkling smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hey there! Nurture your child's dental health. Get an oral evaluation to keep their teeth and gums in check. Dental services support a confident and healthy smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hello! Dental care is essential! Schedule an oral evaluation to ensure your child's dental well-being. Healthy teeth build a foundation for a bright smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hi! Ensure your child's dental care is on track. Book an oral evaluation to guide their oral health. Dental services shape a lifetime of healthy teeth!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hey there! Protect your child's precious smile. Schedule an oral evaluation to monitor their dental growth. Dental care is essential for a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hello! Support your child's oral health journey. Get an oral evaluation to maintain their dental well-being. Dental services foster a lifetime of healthy smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hi! Give your child the gift of a healthy smile. Schedule an oral evaluation to ensure their dental health. Dental services create the foundation for a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hey there! Prioritize your child's dental care. Book an oral evaluation to monitor their teeth and gums. Dental services ensure a lifetime of healthy and sparkling smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hello! Your child's dental health matters! Schedule an oral evaluation to ensure their teeth and gums are healthy. Dental services support a confident and bright smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hi! Take the first step toward your child's dental well-being. Schedule an oral evaluation to maintain their dental health. Dental services ensure a lifetime of healthy smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,6,14,"""Hey there! Dental care sets the stage for a confident smile. Get an oral evaluation to monitor your child's dental growth. Dental services pave the way for a bright grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,15,20,"""Hello! Ensure your dental health remains a priority! Schedule an oral evaluation to monitor your teeth and gums. Dental services pave the way for a confident smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,15,20,"""Hi! Take charge of your dental health routine. Book an oral evaluation to maintain your teeth's well-being. Regular dental services promote strong and healthy smiles!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,15,20,"""Hey there! Keep your smile glowing! Get an oral evaluation to check your dental health. Dental services support a confident grin!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,15,20,"""Hello! Lay the groundwork for a lifetime of healthy teeth. Schedule an oral evaluation for proper dental guidance. Dental services ensure a confident and bright smile!"""
Prevention and Screening,"Oral Evaluation, Dental Services",OED,15,20,"""Hi! Keep up with your dental care routine. Book an oral evaluation to monitor your teeth and gums. Dental services build the foundation for a sparkling smile!"""
