Category,Hedis Measures,IVR
Cardiovascular Conditions,Controlling High Blood Pressure,Did you take necessary steps recommended by your doctor to control and maintain your blood pressure within healthy limits?
Cardiovascular Conditions,Controlling High Blood Pressure,Have you encountered any difficulties or concerns in adhering to the prescribed treatment plan for controlling high blood pressure?
Cardiovascular Conditions,Persistence of Beta-Blocker Treatment After a Heart Attack,Have you consistently continued the prescribed beta-blocker medication after experiencing a heart attack as recommended by your healthcare provider?
Cardiovascular Conditions,Persistence of Beta-Blocker Treatment After a Heart Attack,Did you adhere to your doctor's advice regarding the ongoing use of beta-blockers following your heart attack for heart health management?
Cardiovascular Conditions,Statin Therapy for Patients With Cardiovascular Disease,Are you currently taking statin medications as prescribed by your healthcare provider for managing your cardiovascular disease?
Cardiovascular Conditions,Statin Therapy for Patients With Cardiovascular Disease,Did you follow your doctor's recommendation to use statin therapy as part of your treatment plan for your cardiovascular condition?
Cardiovascular Conditions,Statin Therapy for Patients With Cardiovascular Disease,Have you faced any challenges in accessing or adhering to your statin medication?
Cardiovascular Conditions,Statin Therapy for Patients With Cardiovascular Disease,Can you share any recent changes in your routine to better comply with your statin therapy as a diabetic patient?
Cardiovascular Conditions,Statin Therapy for Patients With Cardiovascular Disease,Have you experienced any side effects or concerns related to your statin therapy?
Cardiovascular Conditions,Cardiac Rehabilitation,Have you participated in any cardiac rehabilitation programs or activities as advised by your healthcare provider after your cardiac event or procedure?
Cardiovascular Conditions,Cardiac Rehabilitation,Did you follow your doctor's recommendation to engage in cardiac rehabilitation programs or activities for your heart health recovery?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Have you maintained consistent efforts to manage your Hemoglobin A1c levels within the recommended target range as suggested by your healthcare provider?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Did you follow your healthcare provider's guidance and treatment plan to control and regulate your Hemoglobin A1c levels for diabetes management?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,How frequently do you monitor your blood sugar levels at home?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Have you encountered any obstacles in maintaining a healthy Hemoglobin A1c level?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Are you familiar with the potential risks associated with uncontrolled blood sugar levels?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Can you share any recent changes in your lifestyle aimed at better managing your diabetes and Hemoglobin A1c levels?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,Are you taking your prescribed medications regularly for diabetes control?
Diabetes,Hemoglobin A1c Control for Patients With Diabetes,When was your last Hemoglobin A1c test for diabetes?
Diabetes,Blood Pressure Control for Patients With Diabetes,Have you consistently monitored and managed your blood pressure levels as recommended by your healthcare provider for diabetes management?
Diabetes,Blood Pressure Control for Patients With Diabetes,Did you follow your healthcare provider's advice and take necessary measures to maintain healthy blood pressure levels while managing diabetes?
Diabetes,Blood Pressure Control for Patients With Diabetes,What was your last recorded blood pressure reading?
Diabetes,Blood Pressure Control for Patients With Diabetes,Are you aware of your target blood pressure range as a diabetic patient?
Diabetes,Blood Pressure Control for Patients With Diabetes,Have you experienced any symptoms related to high or low blood pressure recently?
Diabetes,Blood Pressure Control for Patients With Diabetes,Have you made any lifestyle changes to control your blood pressure?
Diabetes,Eye Exam for Patients With Diabetes,Have you undergone regular eye examinations as recommended by your healthcare provider for managing diabetes-related eye health?
Diabetes,Eye Exam for Patients With Diabetes,Did you follow your healthcare provider's advice to schedule routine eye exams for monitoring and maintaining your eye health due to diabetes?
Diabetes,Eye Exam for Patients With Diabetes,Do you understand the importance of regular eye exams in managing diabetes?
Diabetes,Eye Exam for Patients With Diabetes,Have you faced any challenges or concerns regarding eye exams for diabetic retinopathy?
Diabetes,Kidney Health Evaluation for Patients With Diabetes,Have you undergone regular kidney health evaluations or screenings as recommended by your healthcare provider due to your diabetes diagnosis?
Diabetes,Kidney Health Evaluation for Patients With Diabetes,Did you follow your healthcare provider's advice to undergo kidney health assessments or screenings for monitoring and maintaining your kidney function related to diabetes?
Diabetes,Kidney Health Evaluation for Patients With Diabetes,When was your last kidney function test (eGFR test) for diabetes?
Diabetes,Statin Therapy for Patients With Diabetes,Have you been prescribed statin therapy by your healthcare provider as part of your diabetes management?
Diabetes,Statin Therapy for Patients With Diabetes,Did you follow your doctor's recommendation to use statin medications for managing your diabetes-related health concerns?
Diabetes,Statin Therapy for Patients With Diabetes,Have you had any challenges in accessing or adhering to your statin medication?
Diabetes,Statin Therapy for Patients With Diabetes,Are you aware of the risks associated with uncontrolled cholesterol levels in diabetes?
Diabetes,Statin Therapy for Patients With Diabetes,Can you share any recent changes in your routine to better comply with your statin therapy as a diabetic patient?
Diabetes,Statin Therapy for Patients With Diabetes,Are you following any dietary or lifestyle recommendations to complement your statin therapy?
